model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
llama3.1:70b,4,4.724,0.9595732310175878,0.959895379250218,0.0,0.0,1.0,1691379,312.15308203781615
llama3.1:70b,8,4.687,0.9547617286346108,0.955536181342633,0.0,0.0,1.0,2112294,392.91263430784545
llama3.1:70b,10,4.626,0.9550427008503084,0.955536181342633,0.0,0.0,1.0,2395855,451.53506713692474
llama3.3:70b,0,4.539,0.9543598521525266,0.9546643417611159,0.0,0.0,1.0,1236784,237.55832672106686
llama3.3:70b,1,4.251,0.9541082259764914,0.953792502179599,0.0,0.0,1.0,1354501,277.79524464934343
llama3.3:70b,2,4.323,0.9551820834931852,0.955536181342633,0.0,0.0,1.0,1483315,299.14705733469583
llama3.3:70b,4,4.325,0.9573191505330687,0.958151700087184,0.0,0.0,1.0,1692182,341.11242698973444
llama3.3:70b,8,4.322,0.9586799180990596,0.9590235396687009,0.0,0.0,1.0,2113294,426.2964730639493
llama3.3:70b,10,4.297,0.9578027148979555,0.958151700087184,0.0,0.0,1.0,2396487,486.2350996488092
qwen2.5:72b,0,6.132,0.9315951746873947,0.923278116826504,0.0,0.0,0.995640802092415,1220445,173.52124234581152
qwen2.5:72b,1,5.801,0.9470227387224437,0.9380993897122929,0.0,0.0,0.999128160418483,1346990,202.44082018748233
qwen2.5:72b,2,5.855,0.957558821059243,0.9520488230165649,0.0,0.0,1.0,1479334,220.2804330459216
qwen2.5:72b,4,5.865,0.9656812070305312,0.963382737576286,0.0,0.0,1.0,1689114,251.08890756939596
qwen2.5:72b,8,5.911,0.9707583280385403,0.9686137750653879,0.0,0.0,1.0,2127432,313.7843722865634
qwen2.5:72b,10,5.886,0.96337172315667,0.959895379250218,0.0,0.0,1.0,2411532,357.1982755173048
llama3.2-vision:90b,0,11.928,0.9518767446341494,0.951176983435048,0.0,0.0,1.0,1235050,90.27208879548725
llama3.2-vision:90b,1,13.82,0.9479514897392045,0.9459459459459459,0.0,0.0,1.0,1353072,85.35902505371719
llama3.2-vision:90b,2,14.892,0.9458741182303148,0.9450741063644289,0.0,0.0,1.0,1482303,86.78017910296771
llama3.2-vision:90b,4,14.46,0.9604949085863371,0.960767218831735,0.0,0.0,1.0,1691358,101.97737558198006
llama3.2-vision:90b,8,14.433,0.953464028906436,0.953792502179599,0.0,0.0,1.0,2112252,127.59266262997632
llama3.2-vision:90b,10,14.598,0.9544707611992286,0.9546643417611159,0.0,0.0,1.0,2395815,143.0857889431534
