model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
llama3.2:1b-instruct-fp16,1,0.352,0.6014706784726838,0.6068003487358327,0.0,0.0,0.997384481255449,1357747,3362.890841721487
llama3.2:1b-instruct-fp16,2,0.375,0.6250765501595553,0.6111595466434177,0.0,0.0,1.0,1485921,3454.6259808195296
llama3.2:1b-instruct-fp16,4,0.367,0.5984334574171082,0.5850043591979076,0.0,0.0,1.0,1694899,4026.376116821753
llama3.2:1b-instruct-fp16,8,0.362,0.5202776199221165,0.5387968613775065,0.0,0.0,1.0,2113812,5090.8977057613665
llama3.2:1b-instruct-fp16,10,0.356,0.61010144894781,0.6251089799476897,0.0,0.0,0.999128160418483,2397810,5872.206929655281
qwen2.5:1.5b,0,0.166,0.5920320160360508,0.5187445510026155,0.0,0.0,0.992153443766347,1212563,6368.436255921682
qwen2.5:1.5b,1,0.158,0.7366240177902896,0.6608544027898866,0.0,0.0,0.976460331299041,1344445,7418.609912484963
qwen2.5:1.5b,2,0.161,0.7199549615198553,0.6251089799476897,0.0,0.0,0.99128160418483,1475866,7992.039725560062
qwen2.5:1.5b,4,0.163,0.6878987758260098,0.5928509154315605,0.0,0.0,0.997384481255449,1684939,9012.24854381395
qwen2.5:1.5b,8,0.167,0.6604107302264868,0.5632083696599826,0.0,0.0,0.999128160418483,2122921,11082.913510381155
qwen2.5:1.5b,10,0.192,0.6883577820452768,0.5980819529206626,0.0,0.0,0.999128160418483,2407188,10930.634263295555
qwen2.5:1.5b-instruct-fp16,0,0.221,0.6450955098364489,0.5928509154315605,0.0,0.0,0.998256320836966,1214590,4791.527770654905
qwen2.5:1.5b-instruct-fp16,1,0.209,0.8099975553031544,0.7663469921534438,0.0,0.0,0.980819529206626,1345192,5611.443207368505
qwen2.5:1.5b-instruct-fp16,2,0.211,0.7673275420699172,0.7306015693112468,0.0,0.0,0.999128160418483,1476748,6101.83582145056
qwen2.5:1.5b-instruct-fp16,4,0.206,0.7545788865283544,0.7131647776809067,0.0,0.0,0.998256320836966,1685747,7134.470674871553
qwen2.5:1.5b-instruct-fp16,8,0.21,0.7148453176725256,0.6765475152571927,0.0,0.0,1.0,2123811,8817.249968862872
qwen2.5:1.5b-instruct-fp16,10,0.214,0.7486284539185515,0.7088055797733217,0.0,0.0,1.0,2408136,9810.786366710394
llama3.2:3b,0,0.24,0.6511565175244779,0.6573670444638187,0.0,0.0,0.993025283347864,1244987,4522.6206044754435
llama3.2:3b,1,0.209,0.7574915021745211,0.7480383609415867,0.0,0.0,0.998256320836966,1359591,5671.508365905649
llama3.2:3b,2,0.199,0.7811527677229483,0.7672188317349607,0.0,0.0,1.0,1486196,6511.178385388143
llama3.2:3b,4,0.197,0.7936823360279004,0.7820401046207498,0.0,0.0,1.0,1693790,7496.00591257706
llama3.2:3b,8,0.201,0.8303859049265717,0.8238884045335658,0.0,0.0,1.0,2114563,9171.938910504148
llama3.2:3b,10,0.214,0.8361210121705911,0.8299912816041848,0.0,0.0,1.0,2397108,9765.858110145116
llama3.2:3b-instruct-fp16,0,0.411,0.6239756200301722,0.6425457715780296,0.0,0.0,0.993025283347864,1244244,2639.370239087687
llama3.2:3b-instruct-fp16,1,0.336,0.7776471870622037,0.7715780296425457,0.0,0.0,0.998256320836966,1359361,3527.2164445551543
llama3.2:3b-instruct-fp16,2,0.325,0.7877024345784488,0.7776809067131648,0.0,0.0,1.0,1485593,3985.22701361411
llama3.2:3b-instruct-fp16,4,0.331,0.7763100865022129,0.7663469921534438,0.0,0.0,1.0,1693562,4460.768535809955
llama3.2:3b-instruct-fp16,8,0.326,0.8222628761915279,0.8169136878814298,0.0,0.0,1.0,2114116,5653.895732265018
llama3.2:3b-instruct-fp16,10,0.326,0.8196191979883316,0.8160418482999128,0.0,0.0,1.0,2397185,6410.922598830772
qwen2.5:3b,0,0.23,0.7392547496683619,0.7306015693112468,0.0,0.0,0.974716652136007,1217158,4613.767484174216
qwen2.5:3b,1,0.205,0.8960189595658347,0.8744551002615518,0.0,0.0,0.99128160418483,1344173,5716.601101494886
qwen2.5:3b,2,0.207,0.890667600326156,0.8657367044463818,0.0,0.0,0.990409764603313,1476097,6217.003820089375
qwen2.5:3b,4,0.209,0.8906214121135665,0.8666085440278989,0.0,0.0,0.990409764603313,1685628,7031.565598628417
qwen2.5:3b,8,0.214,0.9130121024532599,0.8979947689625108,0.0,0.0,0.994768962510898,2123853,8652.612666932835
qwen2.5:3b,10,0.233,0.908233116045505,0.8910200523103748,0.0,0.0,0.993025283347864,2408588,9012.456454793433
qwen2.5:3b-instruct-fp16,0,0.366,0.7514006750577407,0.7497820401046208,0.0,0.0,0.998256320836966,1217532,2900.2529764031615
qwen2.5:3b-instruct-fp16,1,0.307,0.8883423151735911,0.8735832606800349,0.0,0.0,1.0,1345129,3819.9892652976614
qwen2.5:3b-instruct-fp16,2,0.31,0.8761850843323824,0.8561464690496948,0.0,0.0,1.0,1477152,4154.321230700003
qwen2.5:3b-instruct-fp16,4,0.311,0.8811884288867157,0.8631211857018308,0.0,0.0,1.0,1686632,4728.207514640457
qwen2.5:3b-instruct-fp16,8,0.314,0.8915492706959436,0.8735832606800349,0.0,0.0,0.999128160418483,2124595,5899.063744245581
qwen2.5:3b-instruct-fp16,10,0.319,0.9025388694132519,0.8875326939843069,0.0,0.0,0.998256320836966,2409169,6584.353895811069
qwen2.5:7b,0,0.322,0.9027686987706948,0.9006102877070619,0.0,0.0,0.999128160418483,1218233,3298.4588475472065
qwen2.5:7b,1,0.278,0.9141608820921354,0.8988666085440279,0.0,0.0,0.999128160418483,1344658,4217.00024461686
qwen2.5:7b,2,0.292,0.9188332029157378,0.9128160418482999,0.0,0.0,0.999128160418483,1477335,4410.9559183575975
qwen2.5:7b,4,0.299,0.9124737071371736,0.9049694856146469,0.0,0.0,1.0,1687325,4919.989036398574
qwen2.5:7b,8,0.299,0.9137570316827217,0.902353966870096,0.0,0.0,1.0,2125239,6196.881205296353
qwen2.5:7b,10,0.318,0.92647992402865,0.9197907585004359,0.0,0.0,0.999128160418483,2409844,6606.910014091997
qwen2.5:7b-instruct-fp16,0,0.671,0.9110521307374398,0.9075850043591979,0.0,0.0,0.997384481255449,1218345,1583.0125110928916
qwen2.5:7b-instruct-fp16,1,0.507,0.9175814467223833,0.9040976460331299,0.0,0.0,0.9965126416739319,1344611,2312.199391603858
qwen2.5:7b-instruct-fp16,2,0.517,0.9299232251052649,0.9241499564080209,0.0,0.0,0.999128160418483,1477035,2490.7883487155964
qwen2.5:7b-instruct-fp16,4,0.52,0.9147275679252457,0.9058413251961639,0.0,0.0,1.0,1686827,2828.158741868419
qwen2.5:7b-instruct-fp16,8,0.515,0.9172825376681377,0.9084568439407149,0.0,0.0,1.0,2124574,3596.675159343496
qwen2.5:7b-instruct-fp16,10,0.522,0.9281184960793053,0.9241499564080209,0.0,0.0,1.0,2409124,4023.6966666332623
llama3.1:8b,0,0.31,0.7313018449590402,0.7401918047079338,0.0,0.0,1.0,1238261,3482.4675872542675
llama3.1:8b,1,0.252,0.8965871566380821,0.8918918918918919,0.0,0.0,1.0,1353586,4682.975602330441
llama3.1:8b,2,0.263,0.8761610212765053,0.8744551002615518,0.0,0.0,1.0,1483400,4917.4404381076765
llama3.1:8b,4,0.264,0.9040669048895491,0.9014821272885789,0.0,0.0,1.0,1691879,5587.299542944705
llama3.1:8b,8,0.266,0.9106017994005536,0.9075850043591979,0.0,0.0,1.0,2112697,6924.559655459486
llama3.1:8b,10,0.309,0.9195723471043473,0.918918918918919,0.0,0.0,1.0,2396126,6760.63912330746
llama3.1:8b-instruct-fp16,0,0.742,0.7879278800093833,0.7933740191804708,0.0,0.0,0.999128160418483,1240736,1457.8473787238242
llama3.1:8b-instruct-fp16,1,0.529,0.9222101699108429,0.918918918918919,0.0,0.0,0.999128160418483,1354303,2232.0131583501297
llama3.1:8b-instruct-fp16,2,0.548,0.8979327889547895,0.8979947689625108,0.0,0.0,1.0,1483876,2360.769764348761
llama3.1:8b-instruct-fp16,4,0.548,0.9387107317408934,0.9380993897122929,0.0,0.0,1.0,1692318,2692.390176849795
llama3.1:8b-instruct-fp16,8,0.546,0.9368861455984167,0.9354838709677419,0.0,0.0,1.0,2113087,3374.1261644487445
llama3.1:8b-instruct-fp16,10,0.549,0.9414668936152565,0.9407149084568439,0.0,0.0,1.0,2396309,3805.459081503502
llama3.2-vision:11b,0,0.354,0.7287955768816582,0.7428073234524848,0.0,0.0,0.999128160418483,1240799,3055.8691551037095
llama3.2-vision:11b,1,0.265,0.8899508747787923,0.8875326939843069,0.0,0.0,0.999128160418483,1354543,4456.393216101067
llama3.2-vision:11b,2,0.273,0.8634190382763307,0.8631211857018308,0.0,0.0,1.0,1483871,4738.8185775282545
llama3.2-vision:11b,4,0.274,0.9145118936083322,0.9136878814298169,0.0,0.0,1.0,1692350,5384.882174380644
llama3.2-vision:11b,8,0.278,0.9109130212668038,0.909328683522232,0.0,0.0,1.0,2113118,6626.978103654826
llama3.2-vision:11b,10,0.332,0.925294088529936,0.9250217959895379,0.0,0.0,1.0,2396407,6293.019506097625
llama3.2-vision:11b-instruct-fp16,0,5.571,0.7866116241574936,0.7916303400174368,0.0,0.0,0.999128160418483,1241353,194.26686053399274
llama3.2-vision:11b-instruct-fp16,1,4.355,0.9227085958202175,0.9197907585004359,0.0,0.0,0.999128160418483,1354385,271.13810599607416
llama3.2-vision:11b-instruct-fp16,2,4.476,0.8902588452495396,0.8901482127288579,0.0,0.0,1.0,1483886,289.03274112129947
llama3.2-vision:11b-instruct-fp16,4,4.486,0.932990256760145,0.932868352223191,0.0,0.0,1.0,1692368,328.90624362299684
llama3.2-vision:11b-instruct-fp16,8,4.496,0.9232233831620001,0.9215344376634699,0.0,0.0,1.0,2113178,409.7758503538551
llama3.2-vision:11b-instruct-fp16,10,4.466,0.9444460669324957,0.944202266782912,0.0,0.0,1.0,2396331,467.8047953910023
qwen2.5:14b,0,0.524,0.8873366251976513,0.8849171752397559,0.0,0.0,1.0,1217631,2025.913934126197
qwen2.5:14b,1,0.455,0.9452093542116146,0.941586748038361,0.0,0.0,1.0,1345644,2578.4301139139848
qwen2.5:14b,2,0.451,0.9386432789838278,0.934612031386225,0.0,0.0,1.0,1477635,2856.453835997502
qwen2.5:14b,4,0.459,0.9299520034117441,0.9241499564080209,0.0,0.0,1.0,1687538,3205.364757546921
qwen2.5:14b,8,0.477,0.9395229712931072,0.9363557105492589,0.0,0.0,1.0,2125836,3885.5093681630506
qwen2.5:14b,10,0.526,0.9488110916199264,0.9450741063644289,0.0,0.0,1.0,2410321,3995.0822280639527
qwen2.5:14b-instruct-fp16,0,13.915,0.882887080820649,0.8814298169136879,0.0,0.0,1.0,1218291,76.3316073018993
qwen2.5:14b-instruct-fp16,1,13.145,0.9419874181269471,0.934612031386225,0.0,0.0,1.0,1346144,89.28274032876544
qwen2.5:14b-instruct-fp16,2,12.995,0.9338108116887441,0.9267654751525719,0.0,0.0,1.0,1477860,99.15019961067449
qwen2.5:14b-instruct-fp16,4,13.175,0.9231431628136756,0.9145597210113339,0.0,0.0,1.0,1688093,111.70749864757333
qwen2.5:14b-instruct-fp16,8,12.981,0.9283390924894633,0.9250217959895379,0.0,0.0,1.0,2126495,142.8212395730679
qwen2.5:14b-instruct-fp16,10,13.075,0.9414869418415307,0.9354838709677419,0.0,0.0,1.0,2410917,160.75968400399412
qwen2.5:32b,0,1.017,0.9293409404782285,0.927637314734089,0.0,0.0,1.0,1218716,1044.7638617778498
qwen2.5:32b,1,0.882,0.956544007283279,0.953792502179599,0.0,0.0,0.998256320836966,1347818,1332.291475148618
qwen2.5:32b,2,0.907,0.9555197151621675,0.9546643417611159,0.0,0.0,1.0,1480630,1423.2324581935136
qwen2.5:32b,4,0.873,0.9633472017776227,0.9616390584132519,0.0,0.0,1.0,1690086,1687.839485644607
qwen2.5:32b,8,0.872,0.9686016449279512,0.967741935483871,0.0,0.0,1.0,2128102,2127.7105012677666
qwen2.5:32b,10,1.033,0.967667676382852,0.9659982563208369,0.0,0.0,1.0,2413255,2036.7582084160792
llama3.1:70b,0,14.484,0.9378655967797421,0.9354838709677419,0.0,0.0,0.998256320836966,1235143,74.34731816029087
llama3.1:70b,1,13.223,0.9316939437939717,0.9293809938971229,0.0,0.0,0.999128160418483,1353439,89.23706355356487
llama3.1:70b,2,14.453,0.9458165663601528,0.9450741063644289,0.0,0.0,1.0,1482586,89.4331389886504
llama3.1:70b,4,15.657,0.9546334917482155,0.955536181342633,0.0,0.0,1.0,1691353,94.18078122996258
llama3.1:70b,8,18.293,0.9520141615259146,0.952920662598082,0.0,0.0,1.0,2112317,100.67247413279652
llama3.1:70b,10,16.362,0.9476317658356765,0.948561464690497,0.0,0.0,1.0,2395828,127.66029097339649
llama3.3:70b,0,19.152,0.9534320470819323,0.953792502179599,0.0,0.0,1.0,1236818,56.30257349272629
llama3.3:70b,1,18.425,0.9541009454318786,0.953792502179599,0.0,0.0,1.0,1354495,64.09239370240815
llama3.3:70b,2,19.246,0.9560894245328208,0.95640802092415,0.0,0.0,1.0,1483360,67.19588286600117
llama3.3:70b,4,20.241,0.9572978076611618,0.958151700087184,0.0,0.0,1.0,1692241,72.88981202835389
