model,shots,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,eval_time,total_tokens,eval_speed
Llama-3.1-70B-Instruct_GMRID_v3,2,0.9524940367075291,0.9520488230165649,0.0,0.0,0.9380993897122929,22.781,1489581,57.006965263846
Llama-3.1-70B-Instruct_GMRID_v2,3,0.9382890137674484,0.9380993897122928,0.9382890137674484,0.9380993897122928,1.0,3.7541412380122057,1489581,345.9314909428704
Llama-3.1-70B-Instruct_GMRID_v3,4,0.951574965277009,0.951176983435048,0.0,0.0,0.9128160418482999,27.533,1701699,53.884739913118764
Llama-3.1-70B-Instruct_GMRID_v2,5,0.9395411002091916,0.93897122929381,0.9395411002091916,0.93897122929381,1.0,4.045335658238884,1701699,366.745474137931
Llama-3.1-70B-Instruct_GMRID_v3,8,0.9522986147408632,0.9520488230165649,0.0,0.0,0.944202266782912,28.573,2119265,64.66451232714894
Llama-3.1-70B-Instruct_GMRID_v2,10,0.9401192566995432,0.939843068875327,0.9401192566995432,0.939843068875327,1.0,7.378378378378378,2119265,250.41533735082126
gpt-4o-mini_GMRID_v3,0,0.9368269469060042,0.9354838709677419,0.0,0.0,1.0,1.024,1237881,1053.9391142654752
gpt-4o-mini_GMRID_v2,0,0.9218056781248356,0.92153443766347,0.9218056781248356,0.92153443766347,0.999128160418483,0.7131647776809067,1237881,1513.30195599022
gpt-4o-mini_GMRID_v3,1,0.94831240660818,0.9450741063644289,0.0,0.0,1.0,1.035,1354303,1140.8067253789554
gpt-4o-mini_GMRID_v2,1,0.9386349665190264,0.931996512641674,0.9386349665190264,0.931996512641674,1.0,0.5902353966870096,1354303,2000.447562776957
gpt-4o-mini_GMRID_v3,2,0.9399688579985057,0.937227550130776,0.0,0.0,1.0,1.061,1483577,1219.0774277363314
gpt-4o-mini_GMRID_v2,3,0.9192356125561316,0.9128160418483,0.9192356125561316,0.9128160418483,1.0,0.5858761987794245,1483577,2207.7038690476193
gpt-4o-mini_GMRID_v2,5,0.9254102399184652,0.9206625980819528,0.9254102399184652,0.919790758500436,0.999128160418483,0.5954664341761116,1692159,2477.538799414349
gpt-4o-mini_GMRID_v3,4,0.9410831629528791,0.9363557105492589,0.0,0.0,1.0,1.117,1692159,1320.762036186416
gpt-4o-mini_GMRID_v2,10,0.929714976634432,0.925893635571055,0.929714976634432,0.9241499564080208,0.997384481255449,0.6329555361813426,2113015,2910.4889807162535
gpt-4o-mini_GMRID_v3,8,0.9458911281389657,0.941586748038361,0.0,0.0,1.0,1.278,2113015,1441.4789619242142
gpt-4o_GMRID_v3,0,0.9538525489066725,0.953792502179599,0.0,0.0,1.0,1.191,1238807,906.8354126451143
gpt-4o_GMRID_v2,0,0.9496605867954632,0.949433304272014,0.9496605867954632,0.949433304272014,1.0,0.5727986050566696,1238807,1885.5509893455098
gpt-4o_GMRID_v2,1,0.9742446324816364,0.97384481255449,0.9742446324816364,0.97384481255449,1.0,0.5823888404533566,1355722,2029.5239520958082
gpt-4o_GMRID_v3,1,0.9826724326859481,0.9825632083696599,0.0,0.0,1.0,1.165,1355722,1014.5683271531258
gpt-4o_GMRID_v2,3,0.9746057493219512,0.974716652136007,0.9746057493219512,0.974716652136007,1.0,0.5884917175239756,1485685,2201.014814814815
gpt-4o_GMRID_v3,2,0.9861041240329373,0.986050566695728,0.0,0.0,1.0,1.183,1485685,1094.910387714358
gpt-4o_GMRID_v2,5,0.9875529955707134,0.987794245858762,0.9875529955707134,0.987794245858762,1.0,0.5919790758500436,1695380,2496.877761413844
gpt-4o_GMRID_v3,4,0.9973693262561627,0.997384481255449,0.0,0.0,1.0,1.242,1695380,1190.0961269825225
gpt-4o_GMRID_v3,8,0.9899803840348356,0.9895379250217959,0.0,0.0,1.0,1.244,2115757,1482.7979883212743
gpt-4o_GMRID_v2,10,0.9711891192296984,0.9712292938099388,0.9711891192296984,0.9712292938099388,1.0,0.6120313862249346,2115757,3013.8988603988605
Llama-3.1-8B-Instruct_GMRID_v3,10,0.7919669917387934,0.6992153443766347,0.0,0.0,0.7576285963382737,1.202,2421149,1756.117746214896
Llama-3.1-8B-Instruct_GMRID_v3,10,0.7919669917387934,0.6992153443766347,0.0,0.0,0.7576285963382737,1.196,2421149,1764.9277014634658
Llama-3.1-70B-Instruct_GMRID_v3,10,0.955082739195759,0.9546643417611159,0.0,0.0,0.95640802092415,2.639,2400581,793.0737152094216
gpt-4o-mini_GMRID_v3,10,0.9491981554487026,0.942458587619878,0.0,0.0,1.0,1.23,2396530,1698.6908230023887
gpt-4o_GMRID_v3,10,0.9813422381341379,0.980819529206626,0.0,0.0,1.0,1.257,2398769,1663.7563732028282
